آ	N$آ+SG
آبیی	N$آب+SG YEH COP2SG*آبی+SG COP2SG#SG EZ
آبی‌ای	N$آب+SG YEH COP2SG*آبی+SG COP2SG
آبی‌ست	N$آب+SG YEH COP3SG*آبی+SG COP3SG
آب‌ام	N$آب+SG COP1SG
آب‌جو	N$آب‌جو+SG
آب‌خورد	N$آب‌خورد+SG
آب‌خوردش	N$آب‌خورد+SG PRO3SG
آب‌خورش	N$آب‌خورش+SG
آب‌مان	N$آب+SG PRO1PL
آب‌ها	N$آب+PL
آب‌های	N$آب+PL EZ#PL COP2SG
آب‌گیر	N$آب‌گیر+SG
آت	N$آ+SG PRO2SG
آتا	N$آتا+SG
آتش	N$آتش+SG
آتشان	N$آتش+PL
آتشبار	N$آتشبار+SG
آتشت	N$آتش+SG PRO2SG
آتشتان	N$آتش+SG PRO2PL
آتشخانه	N$آتشخانه+SG
آتشخانه‌ی	N$آتشخانه+SG COP2SG#SG EZ
آتشدان	N$آتشدان+SG
آتشست	N$آتش+SG COP3SG
آتشستی	N$آتش+SG COP2SG
آتشش	N$آتش+SG PRO3SG
آتششان	N$آتش+SG PRO3PL
آتشم	N$آتش+SG COP1SG#SG PRO1SG
آتشند	N$آتش+SG COP3PL
آتشها	N$آتش+PL
آتشهای	N$آتش+PL EZ#PL COP2SG
آتشگاه	N$آتشگاه+SG
آتشگه	N$آتشگه+SG
آتشی	N$آتش+SG YEH#SG COP2SG
آتشیست	N$آتش+SG YEH COP3SG
آتشیم	N$آتش+SG COP1PL#SG YEH COP1SG
آتشیی	N$آتش+SG YEH COP2SG
آتشی‌اند	N$آتش+SG YEH COP3PL
آتشی‌ست	N$آتش+SG YEH COP3SG
آتش‌افروز	N$آتش‌افروز+SG
آتش‌ام	N$آتش+SG COP1SG
آتش‌اند	N$آتش+SG COP3PL
آتش‌بار	N$آتش‌بار+SG
آتش‌خوار	N$آتش‌خوار+SG
آتش‌زبان	N$آتش‌زبان+SG
آتش‌زنه	N$آتش‌زنه+SG
آتش‌زنه‌ای	N$آتش‌زنه+SG COP2SG
آتش‌زنه‌ست	N$آتش‌زنه+SG COP3SG
آتش‌زنه‌ی	N$آتش‌زنه+SG COP2SG#SG EZ
آتش‌ست	N$آتش+SG COP3SG
آتش‌فشان	N$آتش‌فشان+SG
آتش‌فشانی	N$آتش‌فشان+SG YEH#SG COP2SG*آتش‌فشانی+SG
آتش‌نشانی	N$آتش‌نشانی+SG*آتش‌نشان+SG YEH#SG COP2SG
آتش‌ها	N$آتش+PL
آتش‌هات	N$آتش+PL PRO2SG
آتش‌های	N$آتش+PL EZ#PL COP2SG
آتش‌پاره‌ای	N$آتش‌پاره+SG COP2SG
آتش‌پاره‌ی	N$آتش‌پاره+SG COP2SG#SG EZ
آتش‌پرست	N$آتش‌پرست+SG
آتش‌پرستان	N$آتش‌پرست+PL
آتش‌پرستی	N$آتش‌پرستی+SG*آتش‌پرست+SG YEH#SG COP2SG
آتش‌کده	N$آتش‌کده+SG
آتش‌کش	N$آتش‌کش+SG
آتش‌کشی	N$آتش‌کش+SG YEH#SG COP2SG
آتش‌کشی‌ام	N$آتش‌کش+SG YEH COP1SG
آتش‌کنی	N$آتش‌کن+SG YEH#SG COP2SG
آتش‌گه	N$آتش‌گه+SG
آتل	N$آتل+SG
آتی	N$آ+SG PRO2SG YEH#SG PRO2SG COP2SG
آثار	N$آثار+SG
آثارت	N$آثار+SG PRO2SG
آثارست	N$آثار+SG COP3SG
آثارش	N$آثار+SG PRO3SG
آثارم	N$آثار+SG COP1SG#SG PRO1SG
آثاری	N$آثار+SG YEH#SG COP2SG
آثام	N$آثام+SG
آجال	N$آجال+SG
آجام	N$آجام+SG
آجر	N$آجر+SG
آجرت	N$آجر+SG PRO2SG
آجل	N$آجل+SG
آجلست	N$آجل+SG COP3SG
آجلش	N$آجل+SG PRO3SG
آجیده	N$آجیده+SG
آحاد	N$آحاد+SG
آحادست	N$آحاد+SG COP3SG
آحادم	N$آحاد+SG COP1SG#SG PRO1SG
آحادی	N$آحاد+SG YEH#SG COP2SG
آحادیم	N$آحاد+SG COP1PL#SG YEH COP1SG
آخال	N$آخال+SG
آخته	N$آخته+SG
آخته‌ای	N$آخته+SG COP2SG
آخته‌ست	N$آخته+SG COP3SG
آخر	N$آخر+SG
آخرالزمان	N$آخرالزمان+SG
آخرالزمانست	N$آخرالزمان+SG COP3SG
آخرالزمانم	N$آخرالزمان+SG COP1SG#SG PRO1SG
آخرالزمانی	N$آخرالزمان+SG YEH#SG COP2SG
آخران	N$آخر+PL
آخراندیشی	N$آخراندیشی+SG
آخرت	N$آخرت+SG*آخر+SG PRO2SG
آخرتت	N$آخرت+SG PRO2SG
آخرتست	N$آخرت+SG COP3SG*آخر+SG PRO2SG COP3SG
آخرتش	N$آخرت+SG PRO3SG
آخرتیم	N$آخرت+SG COP1PL#SG YEH COP1SG*آخر+SG PRO2SG COP1PL#SG PRO2SG YEH COP1SG
آخرزمان	N$آخرزمان+SG
آخرزمانست	N$آخرزمان+SG COP3SG
آخرست	N$آخر+SG COP3SG
آخرش	N$آخر+SG PRO3SG
آخرم	N$آخر+SG COP1SG#SG PRO1SG
آخرند	N$آخر+SG COP3PL
آخرهای	N$آخر+PL EZ#PL COP2SG
آخری	N$آخر+SG YEH#SG COP2SG
آخریان	N$آخریان+SG
آخریست	N$آخر+SG YEH COP3SG
آخشیج	N$آخشیج+SG
آخشیجان	N$آخشیج+PL
آخور	N$آخور+SG
آخورت	N$آخور+SG PRO2SG
آخورش	N$آخور+SG PRO3SG
آخوری	N$آخور+SG YEH#SG COP2SG
آداب	N$آداب+SG
آدابش	N$آداب+SG PRO3SG
آدابی	N$آداب+SG YEH#SG COP2SG
آدر	N$آدر+SG
آدم	N$آدم+SG
آدمت	N$آدم+SG PRO2SG
آدمست	N$آدم+SG COP3SG
آدمستی	N$آدم+SG COP2SG
آدمش	N$آدم+SG PRO3SG
آدمم	N$آدم+SG COP1SG#SG PRO1SG
آدمند	N$آدم+SG COP3PL
آدمک	N$آدمک+SG
آدمی	N$آدمی+SG*آدم+SG YEH#SG COP2SG
آدمیان	N$آدمی+PL
آدمیانست	N$آدمی+PL COP3SG
آدمیانی	N$آدمی+PL YEH#PL COP2SG
آدمیانید	N$آدمی+PL COP2PL
آدمیت	N$آدمی+SG PRO2SG
آدمیتست	N$آدمی+SG PRO2SG COP3SG
آدمیتی	N$آدمی+SG PRO2SG YEH#SG PRO2SG COP2SG
آدمید	N$آدم+SG COP2PL
آدمیزاد	N$آدمیزاد+SG
آدمیزادست	N$آدمیزاد+SG COP3SG
آدمیزاده	N$آدمیزاده+SG
آدمیزادگان	N$آدمیزاده+PL
آدمیزادی	N$آدمیزاد+SG YEH#SG COP2SG
آدمیست	N$آدمی+SG COP3SG*آدم+SG YEH COP3SG
آدمیش	N$آدمی+SG PRO3SG
آدمیم	N$آدمی+SG COP1SG#SG PRO1SG*آدم+SG COP1PL#SG YEH COP1SG
آدمیند	N$آدمی+SG COP3PL*آدم+SG YEH COP3PL
آدمیی	N$آدمی+SG COP2SG#SG EZ*آدم+SG YEH COP2SG
آدمی‌ام	N$آدمی+SG COP1SG*آدم+SG YEH COP1SG
آدمی‌اند	N$آدمی+SG COP3PL*آدم+SG YEH COP3PL
آدمی‌ست	N$آدمی+SG COP3SG*آدم+SG YEH COP3SG
آدم‌ام	N$آدم+SG COP1SG
آدم‌اند	N$آدم+SG COP3PL
آدم‌روی	N$آدم‌رو+SG COP2SG#SG EZ
آدینه	N$آدینه+SG
آدینه‌ای	N$آدینه+SG COP2SG
آدینه‌ها	N$آدینه+PL
آدینه‌ی	N$آدینه+SG COP2SG#SG EZ
آذار	N$آذار+SG
آذاری	N$آذار+SG YEH#SG COP2SG
آذر	N$آذر+SG
آذران	N$آذران+SG*آذر+PL
آذرت	N$آذر+SG PRO2SG
آذرست	N$آذر+SG COP3SG
آذرش	N$آذر+SG PRO3SG
آذرشست	N$آذر+SG PRO3SG COP3SG*آذرشست+SG
آذرم	N$آذرم+SG*آذر+SG COP1SG#SG PRO1SG
آذرند	N$آذر+SG COP3PL
آذرنگ	N$آذرنگ+SG
آذرنگی	N$آذرنگ+SG YEH#SG COP2SG
آذرها	N$آذر+PL
آذرپرست	N$آذرپرست+SG
آذرگشسپ	N$آذرگشسپ+SG
آذرگون	N$آذرگون+SG
آذری	N$آذری+SG*آذر+SG YEH#SG COP2SG
آذریست	N$آذری+SG COP3SG*آذر+SG YEH COP3SG
آذرین	N$آذرین+SG
آذریون	N$آذریون+SG
آذوقه	N$آذوقه+SG
آذوقه‌ی	N$آذوقه+SG COP2SG#SG EZ
آذین	N$آذین+SG
آرا	N$آرا+SG*آ+SG POSTP
آرائی	N$آرا+SG YEH
آرائیست	N$آرا+SG YEH COP3SG
آرائیم	N$آرا+SG YEH COP1SG
آرات	N$آرا+SG PRO2SG
آراد	N$آراد+SG
آراست	N$آرا+SG COP3SG
آراستم	N$آرا+SG COP1SG
آراستند	N$آرا+SG COP3PL
آراستی	N$آرا+SG COP2SG
آراستیم	N$آرا+SG COP1PL
آرام	N$آرا+SG COP1SG#SG PRO1SG*آرام+SG
آرامت	N$آرام+SG PRO2SG
آرامتان	N$آرام+SG PRO2PL
آرامست	N$آرا+SG PRO1SG COP3SG*آرام+SG COP3SG
آرامش	N$آرام+SG PRO3SG*آرامش+SG
آرامشان	N$آرام+SG PRO3PL*آرامش+PL
آرامشی	N$آرام+SG PRO3SG YEH#SG PRO3SG COP2SG*آرامش+SG YEH#SG COP2SG
آرامم	N$آرا+SG PRO1SG COP1SG*آرام+SG COP1SG#SG PRO1SG
آرامها	N$آرام+PL
آرامگاه	N$آرامگاه+SG
آرامگاهت	N$آرامگاه+SG PRO2SG
آرامگاهش	N$آرامگاه+SG PRO3SG
آرامی	N$آرامی+SG*آرا+SG PRO1SG COP2SG#SG PRO1SG YEH*آرام+SG YEH#SG COP2SG
آرامید	N$آرا+SG PRO1SG COP2PL*آرام+SG COP2PL
آرامی‌ها	N$آرامی+PL
آرای	N$آرای+SG*آرا+SG COP2SG#SG EZ
آرایان	N$آرای+PL
آرایت	N$آرای+SG PRO2SG*آرا+SG PRO2SG
آراید	N$آرا+SG COP2PL
آرایش	N$آرای+SG PRO3SG*آرایش+SG*آرا+SG PRO3SG
آرایشست	N$آرای+SG PRO3SG COP3SG*آرایش+SG COP3SG*آرا+SG PRO3SG COP3SG
آرایشم	N$آرای+SG PRO3SG COP1SG*آرایش+SG COP1SG#SG PRO1SG*آرا+SG PRO3SG COP1SG
آرایشی	N$آرای+SG PRO3SG YEH#SG PRO3SG COP2SG*آرایش+SG YEH#SG COP2SG*آرا+SG PRO3SG YEH#SG PRO3SG COP2SG
آرایم	N$آرای+SG COP1SG#SG PRO1SG*آرا+SG PRO1SG#SG COP1PL
آرایند	N$آرای+SG COP3PL
آرایی	N$آرای+SG COP2SG#SG EZ*آرا+SG YEH
آرایید	N$آرای+SG COP2PL
آراییم	N$آرای+SG PRO1SG#SG COP1PL*آرا+SG YEH COP1SG
آرد	N$آرد+SG
آردت	N$آرد+SG PRO2SG
آردش	N$آرد+SG PRO3SG
آردشان	N$آرد+SG PRO3PL
آردم	N$آرد+SG COP1SG#SG PRO1SG
آردمان	N$آرد+SG PRO1PL
آردنشانی	N$آردن+SG PRO3PL YEH#SG PRO3PL COP2SG
آردی	N$آرد+SG YEH#SG COP2SG
آرزو	N$آرزو+SG
آرزوئی	N$آرزو+SG YEH
آرزوئیست	N$آرزو+SG YEH COP3SG
آرزوئیم	N$آرزو+SG YEH COP1SG
آرزوت	N$آرزو+SG PRO2SG
آرزوست	N$آرزو+SG COP3SG
آرزوش	N$آرزو+SG PRO3SG
آرزوم	N$آرزو+SG COP1SG#SG PRO1SG
آرزومان	N$آرزو+SG PRO1PL
آرزومند	N$آرزو+SG PRO1SG COP3PL
آرزومندی	N$آرزومندی+SG
آرزومندیت	N$آرزومندی+SG PRO2SG
آرزومندیم	N$آرزومندی+SG COP1SG#SG PRO1SG
آرزوها	N$آرزو+PL
آرزوهاست	N$آرزو+PL COP3SG
آرزوهاش	N$آرزو+PL PRO3SG
آرزوهای	N$آرزو+PL EZ#PL COP2SG
آرزوی	N$آرزو+SG COP2SG#SG EZ
آرزویت	N$آرزو+SG PRO2SG
آرزویش	N$آرزو+SG PRO3SG
آرزویشان	N$آرزو+SG PRO3PL
آرزویم	N$آرزو+SG PRO1SG#SG COP1PL
آرزویی	N$آرزو+SG YEH
آرش	N$آرش+SG
آرشست	N$آرش+SG COP3SG
آرشش	N$آرش+SG PRO3SG
آرشم	N$آرش+SG COP1SG#SG PRO1SG
آرشی	N$آرش+SG YEH#SG COP2SG
آرم	N$آرم+SG
آرمان	N$آرمان+SG*آرم+PL
آرمت	N$آرم+SG PRO2SG
آرمش	N$آرم+SG PRO3SG
آرمی	N$آرم+SG YEH#SG COP2SG
آرمید	N$آرم+SG COP2PL
آرمیدگی	N$آرمیدگی+SG
آرمیدگیش	N$آرمیدگی+SG PRO3SG
آرمیی	N$آرم+SG YEH COP2SG
آرنگ	N$آرنگ+SG
آرنگان	N$آرنگ+PL
آروغ	N$آروغ+SG
آروغت	N$آروغ+SG PRO2SG
آروق	N$آروق+SG
آز	N$آز+SG
آزاد	N$آزاد+SG
آزادان	N$آزاد+PL
آزادانت	N$آزاد+PL PRO2SG
آزادت	N$آزاد+SG PRO2SG
آزادست	N$آزاد+SG COP3SG
آزادسرو	N$آزادسرو+SG
آزادش	N$آزاد+SG PRO3SG
آزادشان	N$آزاد+SG PRO3PL
آزادم	N$آزاد+SG COP1SG#SG PRO1SG
آزادمرد	N$آزادمرد+SG
آزادمردان	N$آزادمرد+PL
آزادمردی	N$آزادمرد+SG YEH#SG COP2SG
آزادمردیست	N$آزادمرد+SG YEH COP3SG
آزادمی	N$آزاد+SG PRO1SG COP2SG#SG PRO1SG YEH
آزادند	N$آزاد+SG COP3PL
آزاده	N$آزاده+SG
آزاده‌ئی	N$آزاده+SG YEH
آزاده‌ام	N$آزاده+SG COP1SG#SG PRO1SG
آزاده‌ای	N$آزاده+SG COP2SG
آزاده‌اید	N$آزاده+SG COP2PL
آزاده‌ایم	N$آزاده+SG COP1PL
آزاده‌ی	N$آزاده+SG COP2SG#SG EZ
آزاده‌یی	N$آزاده+SG YEH
آزادوار	N$آزادوار+SG
آزادگان	N$آزادگان+SG*آزاده+PL
آزادگانرا	N$آزادگان+SG POSTP*آزاده+PL POSTP
آزادگانست	N$آزادگان+SG COP3SG*آزاده+PL COP3SG
آزادگانم	N$آزادگان+SG COP1SG#SG PRO1SG*آزاده+PL PRO1SG#PL COP1SG
آزادگانیم	N$آزادگان+SG COP1PL#SG YEH COP1SG*آزاده+PL YEH COP1SG#PL COP1PL
آزادگی	N$آزادگی+SG
آزادگیت	N$آزادگی+SG PRO2SG
آزادگیست	N$آزادگی+SG COP3SG
آزادگی‌ام	N$آزادگی+SG COP1SG
آزادی	N$آزاد+SG YEH#SG COP2SG*آزادی+SG
آزادیت	N$آزادی+SG PRO2SG
آزادیست	N$آزاد+SG YEH COP3SG*آزادی+SG COP3SG
آزادیش	N$آزادی+SG PRO3SG
آزادیم	N$آزاد+SG COP1PL#SG YEH COP1SG*آزادی+SG COP1SG#SG PRO1SG
آزادیهاست	N$آزادی+PL COP3SG
آزادیی	N$آزاد+SG YEH COP2SG*آزادی+SG COP2SG#SG EZ
آزادی‌ام	N$آزاد+SG YEH COP1SG*آزادی+SG COP1SG
آزار	N$آزار+SG
آزارت	N$آزار+SG PRO2SG
آزارتان	N$آزار+SG PRO2PL
آزارست	N$آزار+SG COP3SG
آزارش	N$آزار+SG PRO3SG
آزارشان	N$آزار+SG PRO3PL
آزارشی	N$آزار+SG PRO3SG YEH#SG PRO3SG COP2SG
آزارم	N$آزار+SG COP1SG#SG PRO1SG
آزارند	N$آزار+SG COP3PL
آزارها	N$آزار+PL
آزارهاست	N$آزار+PL COP3SG
آزارهای	N$آزار+PL EZ#PL COP2SG
آزاری	N$آزار+SG YEH#SG COP2SG
آزاریست	N$آزار+SG YEH COP3SG
آزاریم	N$آزار+SG COP1PL#SG YEH COP1SG
آزاریی	N$آزار+SG YEH COP2SG
آزاری‌ام	N$آزار+SG YEH COP1SG
آزال	N$آزال+SG
آزالیم	N$آزال+SG COP1PL#SG YEH COP1SG
آزت	N$آز+SG PRO2SG*آزت+SG
آزتان	N$آز+SG PRO2PL*آزت+PL
آزخ	N$آزخ+SG
آزردگی	N$آزردگی+SG
آزردگیی	N$آزردگی+SG COP2SG#SG EZ
آزرم	N$آزرم+SG
آزرمشان	N$آزرم+SG PRO3PL
آزرمم	N$آزرم+SG COP1SG#SG PRO1SG
آزرمها	N$آزرم+PL
آزرمی	N$آزرم+SG YEH#SG COP2SG*آزرمی+SG
آزرمیت	N$آزرمی+SG PRO2SG
آزست	N$آز+SG COP3SG
آزش	N$آز+SG PRO3SG
آزشان	N$آز+SG PRO3PL
آزم	N$آز+SG COP1SG#SG PRO1SG
آزما	N$آزما+SG
آزمائی	N$آزما+SG YEH
آزماست	N$آزما+SG COP3SG
آزمای	N$آزما+SG COP2SG#SG EZ
آزماید	N$آزما+SG COP2PL
آزمایش	N$آزما+SG PRO3SG
آزمایشی	N$آزما+SG PRO3SG YEH#SG PRO3SG COP2SG
آزمایم	N$آزما+SG PRO1SG#SG COP1PL
آزمایی	N$آزما+SG YEH
آزماییست	N$آزما+SG YEH COP3SG
آزماییی	N$آزما+SG YEH COP2SG
آزمند	N$آز+SG PRO1SG COP3PL
آزمندی	N$آزمندی+SG
آزمندیست	N$آزمندی+SG COP3SG
آزمون	N$آزمون+SG
آزمونش	N$آزمون+SG PRO3SG
آزمونم	N$آزمون+SG COP1SG#SG PRO1SG
آزمونه	N$آزمونه+SG
آزند	N$آز+SG COP3PL
آزها	N$آز+PL
آزی	N$آز+SG YEH#SG COP2SG
آسانی	N$آسانی+SG
آسانیست	N$آسانی+SG COP3SG
آسانیش	N$آسانی+SG PRO3SG
آسانیم	N$آسانی+SG COP1SG#SG PRO1SG
آسانیی	N$آسانی+SG COP2SG#SG EZ
آسانی‌ام	N$آسانی+SG COP1SG
آسایش	N$آسایش+SG
آسایشت	N$آسایش+SG PRO2SG
آسایشست	N$آسایش+SG COP3SG
آسایشم	N$آسایش+SG COP1SG#SG PRO1SG
آسایشند	N$آسایش+SG COP3PL
آسایشی	N$آسایش+SG YEH#SG COP2SG
آست	N$آ+SG COP3SG
آستان	N$آستان+SG
آستانت	N$آستان+SG PRO2SG
آستانست	N$آستان+SG COP3SG
آستانستی	N$آستان+SG COP2SG
آستانش	N$آستان+SG PRO3SG
آستانم	N$آستان+SG COP1SG#SG PRO1SG
آستانه	N$آستانه+SG
آستانها	N$آستان+PL
آستانه‌ات	N$آستانه+SG PRO2SG
آستانه‌اش	N$آستانه+SG PRO3SG
آستانه‌ای	N$آستانه+SG COP2SG
آستانه‌ایم	N$آستانه+SG COP1PL
آستانه‌ی	N$آستانه+SG COP2SG#SG EZ
آستانی	N$آستان+SG YEH#SG COP2SG
آستانیم	N$آستان+SG COP1PL#SG YEH COP1SG
آستر	N$آستر+SG
آسترش	N$آستر+SG PRO3SG
آستری	N$آستری+SG*آستر+SG YEH#SG COP2SG
آستریست	N$آستری+SG COP3SG*آستر+SG YEH COP3SG
آستی	N$آستی+SG*آ+SG COP2SG
آستین	N$آستین+SG
آستینان	N$آستین+PL
آستینت	N$آستین+SG PRO2SG
آستینش	N$آستین+SG PRO3SG
آستینم	N$آستین+SG COP1SG#SG PRO1SG
آستینها	N$آستین+PL
آستینهای	N$آستین+PL EZ#PL COP2SG
آستینی	N$آستین+SG YEH#SG COP2SG
آستینیم	N$آستین+SG COP1PL#SG YEH COP1SG
آستین‌ها	N$آستین+PL
آستیی	N$آستی+SG COP2SG#SG EZ
آسمان	N$آسم+PL*آسمان+SG
آسمانت	N$آسم+PL PRO2SG*آسمان+SG PRO2SG
آسمانرا	N$آسم+PL POSTP*آسمان+SG POSTP
آسمانست	N$آسم+PL COP3SG*آسمان+SG COP3SG
آسمانستی	N$آسم+PL COP2SG*آسمان+SG COP2SG
آسمانش	N$آسم+PL PRO3SG*آسمان+SG PRO3SG
آسمانشان	N$آسم+PL PRO3PL*آسمان+SG PRO3PL
آسمانم	N$آسم+PL PRO1SG#PL COP1SG*آسمان+SG COP1SG#SG PRO1SG
آسمانند	N$آسم+PL COP3PL*آسمان+SG COP3PL
آسمانه	N$آسمانه+SG
آسمانها	N$آسمان+PL
آسمانهاش	N$آسمان+PL PRO3SG
آسمانهاشان	N$آسمان+PL PRO3PL
آسمانهای	N$آسمان+PL EZ#PL COP2SG
آسمانه‌ی	N$آسمانه+SG COP2SG#SG EZ
آسمانی	N$آسم+PL YEH#PL COP2SG*آسمان+SG YEH#SG COP2SG
آسمانیست	N$آسم+PL YEH COP3SG*آسمان+SG YEH COP3SG
آسمانیم	N$آسم+PL YEH COP1SG#PL COP1PL*آسمان+SG COP1PL#SG YEH COP1SG
آسمانیی	N$آسم+PL YEH COP2SG*آسمان+SG YEH COP2SG
آسمان‌اند	N$آسم+PL COP3PL*آسمان+SG COP3PL
آسمان‌ها	N$آسمان+PL
آسودگی	N$آسودگی+SG
آسودگیست	N$آسودگی+SG COP3SG
آسودگیش	N$آسودگی+SG PRO3SG
آسی	N$آسی+SG
آسیا	N$آسیا+SG
آسیائی	N$آسیا+SG YEH
آسیاب	N$آسیاب+SG
آسیابان	N$آسیابان+SG*آسیاب+PL
آسیابست	N$آسیاب+SG COP3SG
آسیابشان	N$آسیاب+SG PRO3PL
آسیابی	N$آسیاب+SG YEH#SG COP2SG
آسیاست	N$آسیا+SG COP3SG
آسیاسنگی	N$آسیاسنگ+SG YEH#SG COP2SG
آسیاش	N$آسیا+SG PRO3SG
آسیاها	N$آسیا+PL
آسیاهائی	N$آسیا+PL YEH
آسیای	N$آسیا+SG COP2SG#SG EZ
آسیایی	N$آسیا+SG YEH*آسیایی+SG
آسیاییم	N$آسیا+SG YEH COP1SG*آسیایی+SG COP1SG#SG PRO1SG
آسیب	N$آسیب+SG
آسیبت	N$آسیب+SG PRO2SG
آسیبست	N$آسیب+SG COP3SG
آسیبش	N$آسیب+SG PRO3SG
آسیبشان	N$آسیب+SG PRO3PL
آسیبی	N$آسیب+SG YEH#SG COP2SG
