آباد	AJ$آباد+POS
آزادمردی	AJ$آزادمرد+POS YEH#POS COP2SG
آزادمردیست	AJ$آزادمرد+POS YEH COP3SG
آزادمی	AJ$آزاد+POS PRO1SG YEH#POS PRO1SG COP2SG
آزادند	AJ$آزاد+POS COP3PL
آزاده	AJ$آزاده+POS
آزاده‌ئی	AJ$آزاده+POS YEH
آزاده‌ام	AJ$آزاده+POS PRO1SG#POS COP1SG
آزاده‌ای	AJ$آزاده+POS COP2SG
آزاده‌اید	AJ$آزاده+POS COP2PL
آزاده‌ایم	AJ$آزاده+POS COP1PL
آزاده‌تر	AJ$آزاده+COMP
آزاده‌ی	AJ$آزاده+POS EZ#POS COP2SG
آزاده‌یی	AJ$آزاده+POS YEH
آزادوار	AJ$آزادوار+POS
آزادی	AJ$آزاد+POS YEH#POS COP2SG
آزادیست	AJ$آزاد+POS YEH COP3SG
آزادیم	AJ$آزاد+POS COP1PL#POS YEH COP1SG
آزادیی	AJ$آزاد+POS YEH COP2SG
آزادی‌ام	AJ$آزاد+POS YEH COP1SG
آزده	AJ$آزده+POS
آزده‌ی	AJ$آزده+POS EZ#POS COP2SG
آزرده	AJ$آزرده+POS
آزرده‌اش	AJ$آزرده+POS PRO3SG
آزرده‌ام	AJ$آزرده+POS PRO1SG#POS COP1SG
آزرده‌اند	AJ$آزرده+POS COP3PL
آزرده‌ای	AJ$آزرده+POS COP2SG
آزرده‌ایم	AJ$آزرده+POS COP1PL
آزرده‌تر	AJ$آزرده+COMP
آزرده‌دل	AJ$آزرده‌دل+POS
آزرده‌ی	AJ$آزرده+POS EZ#POS COP2SG
آزرمجوی	AJ$آزرمجو+POS EZ#POS COP2SG
آزمایشی	AJ$آزمایشی+POS
آزمند	AJ$آزمند+POS
آزمندی	AJ$آزمند+POS YEH#POS COP2SG
آزمندیست	AJ$آزمند+POS YEH COP3SG
آزموده	AJ$آزموده+POS
آزموده‌ام	AJ$آزموده+POS PRO1SG#POS COP1SG
آزموده‌ای	AJ$آزموده+POS COP2SG
آزموده‌ایم	AJ$آزموده+POS COP1PL
آزموده‌ست	AJ$آزموده+POS COP3SG
آزموده‌ی	AJ$آزموده+POS EZ#POS COP2SG
آزور	AJ$آزور+POS
آسان	AJ$آسان+POS
آسانت	AJ$آسان+POS PRO2SG
آسانتر	AJ$آسان+COMP
آسانترست	AJ$آسان+COMP COP3SG
آسانست	AJ$آسان+POS COP3SG
آسانش	AJ$آسان+POS PRO3SG
آسانم	AJ$آسان+POS PRO1SG#POS COP1SG
آسانند	AJ$آسان+POS COP3PL
آسانی	AJ$آسان+POS YEH#POS COP2SG
آسانیست	AJ$آسان+POS YEH COP3SG
آسانیم	AJ$آسان+POS COP1PL#POS YEH COP1SG
آسانیی	AJ$آسان+POS YEH COP2SG
آسانی‌ام	AJ$آسان+POS YEH COP1SG
آسان‌تر	AJ$آسان+COMP
آسان‌ترست	AJ$آسان+COMP COP3SG
آسان‌ترین	AJ$آسان+SUP
آستری	AJ$آستری+POS
آستریست	AJ$آستری+POS COP3SG
آسمانی	AJ$آسمانی+POS
آسمانیست	AJ$آسمانی+POS COP3SG
آسمانیش	AJ$آسمانی+POS PRO3SG
آسمانیم	AJ$آسمانی+POS PRO1SG#POS COP1SG
آسمانیی	AJ$آسمانی+POS EZ#POS COP2SG
آسوده	AJ$آسوده+POS
آسوده‌ام	AJ$آسوده+POS PRO1SG#POS COP1SG
آسوده‌اند	AJ$آسوده+POS COP3PL
آسوده‌ای	AJ$آسوده+POS COP2SG
آسوده‌ایم	AJ$آسوده+POS COP1PL
آسوده‌تر	AJ$آسوده+COMP
آسوده‌ترست	AJ$آسوده+COMP COP3SG
آسوده‌حال	AJ$آسوده‌حال+POS
آسوده‌خاطر	AJ$آسوده‌خاطر+POS
آسوده‌دل	AJ$آسوده‌دل+POS
آسوده‌ست	AJ$آسوده+POS COP3SG
آسوده‌ی	AJ$آسوده+POS EZ#POS COP2SG
آسیابی	AJ$آسیابی+POS
آسیایی	AJ$آسیایی+POS
آسیاییم	AJ$آسیایی+POS PRO1SG#POS COP1SG
آسیمه	AJ$آسیمه+POS
آشامیده	AJ$آشامیده+POS
آشفته	AJ$آشفته+POS
آشفته‌ئی	AJ$آشفته+POS YEH
آشفته‌ام	AJ$آشفته+POS PRO1SG#POS COP1SG
آشفته‌اند	AJ$آشفته+POS COP3PL
آشفته‌ای	AJ$آشفته+POS COP2SG
آشفته‌اید	AJ$آشفته+POS COP2PL
آشفته‌ایم	AJ$آشفته+POS COP1PL
آشفته‌تر	AJ$آشفته+COMP
آشفته‌حال	AJ$آشفته‌حال+POS
آشفته‌حالی	AJ$آشفته‌حال+POS YEH#POS COP2SG
آشفته‌دل	AJ$آشفته‌دل+POS
آشفته‌ی	AJ$آشفته+POS EZ#POS COP2SG
آشنا	AJ$آشنا+POS
آشنائی	AJ$آشنا+POS YEH
آشنائیست	AJ$آشنا+POS YEH COP3SG
آشنائیم	AJ$آشنا+POS YEH COP1SG
آشنات	AJ$آشنا+POS PRO2SG
آشناتری	AJ$آشنا+COMP COP2SG#COMP YEH
آشنارو	AJ$آشنارو+POS
آشنارویی	AJ$آشناروی+POS EZ#POS COP2SG*آشنارو+POS YEH
آشناست	AJ$آشنا+POS COP3SG
آشناش	AJ$آشنا+POS PRO3SG
آشنای	AJ$آشنا+POS EZ#POS COP2SG
آشنایش	AJ$آشنا+POS PRO3SG
آشنایی	AJ$آشنا+POS YEH
آشناییم	AJ$آشنا+POS YEH COP1SG
آشناییی	AJ$آشنا+POS YEH COP2SG
آشنایی‌ای	AJ$آشنا+POS YEH COP2SG
آشوبناک	AJ$آشوبناک+POS
آشوبی	AJ$آشوبی+POS
آشوفته	AJ$آشوفته+POS
آشپزیست	AJ$آشپزی+POS COP3SG
آشکار	AJ$آشکار+POS
آشکارا	AJ$آشکارا+POS
آشکارائی	AJ$آشکارا+POS YEH
آشکاراست	AJ$آشکارا+POS COP3SG
آشکاراش	AJ$آشکارا+POS PRO3SG
آشکارای	AJ$آشکارا+POS EZ#POS COP2SG
آشکارایی	AJ$آشکارا+POS YEH
آشکارت	AJ$آشکار+POS PRO2SG
آشکارست	AJ$آشکار+POS COP3SG
آشکارستی	AJ$آشکار+POS COP2SG
آشکارش	AJ$آشکار+POS PRO3SG
آشکارم	AJ$آشکار+POS PRO1SG#POS COP1SG
آشکاری	AJ$آشکار+POS YEH#POS COP2SG
آشکاریست	AJ$آشکار+POS YEH COP3SG
آشکاریم	AJ$آشکار+POS COP1PL#POS YEH COP1SG
آشکوخیده	AJ$آشکوخیده+POS
آغار	AJ$آغار+POS
آغارم	AJ$آغار+POS PRO1SG#POS COP1SG
آغازیده‌ام	AJ$آغازیده+POS PRO1SG#POS COP1SG
آغشته	AJ$آغشته+POS
آغشته‌ئی	AJ$آغشته+POS YEH
آغشته‌ام	AJ$آغشته+POS PRO1SG#POS COP1SG
آغشته‌اند	AJ$آغشته+POS COP3PL
آغشته‌ای	AJ$آغشته+POS COP2SG
آغشته‌ایم	AJ$آغشته+POS COP1PL
آغشته‌تر	AJ$آغشته+COMP
آغشته‌ست	AJ$آغشته+POS COP3SG
آفاقی	AJ$آفاقی+POS
آفاقیست	AJ$آفاقی+POS COP3SG
آفاقیم	AJ$آفاقی+POS PRO1SG#POS COP1SG
آفتابی	AJ$آفتابی+POS
آفتابیست	AJ$آفتابی+POS COP3SG
آفتابیش	AJ$آفتابی+POS PRO3SG
آفتابیم	AJ$آفتابی+POS PRO1SG#POS COP1SG
آفتابی‌ست	AJ$آفتابی+POS COP3SG
آفتاب‌روی	AJ$آفتاب‌رو+POS EZ#POS COP2SG
آفتاب‌پرست	AJ$آفتاب‌پرست+POS
آفتاب‌گیر	AJ$آفتاب‌گیر+POS
آفریده	AJ$آفریده+POS
آفریده‌ام	AJ$آفریده+POS PRO1SG#POS COP1SG
آفریده‌اند	AJ$آفریده+POS COP3PL
آفریده‌ای	AJ$آفریده+POS COP2SG
آفریده‌ست	AJ$آفریده+POS COP3SG
آفریده‌ی	AJ$آفریده+POS EZ#POS COP2SG
آفل	AJ$آفل+POS
آفلند	AJ$آفل+POS COP3PL
آفلی	AJ$آفل+POS YEH#POS COP2SG
آق	AJ$آق+POS
آل	AJ$آل+POS
آلت	AJ$آل+POS PRO2SG
آلتان	AJ$آل+POS PRO2PL
آلتست	AJ$آل+POS PRO2SG COP3SG
آلتی	AJ$آل+POS PRO2SG YEH#POS PRO2SG COP2SG
آلتیست	AJ$آل+POS PRO2SG YEH COP3SG
آلت‌اند	AJ$آل+POS PRO2SG COP3PL
آلستم	AJ$آل+POS COP1SG
آلش	AJ$آل+POS PRO3SG
آلفته	AJ$آلفته+POS
آلم	AJ$آل+POS PRO1SG#POS COP1SG
آلند	AJ$آل+POS COP3PL
آلود	AJ$آلود+POS
آلودت	AJ$آلود+POS PRO2SG
آلودست	AJ$آلود+POS COP3SG
آلودستی	AJ$آلود+POS COP2SG
آلودش	AJ$آلود+POS PRO3SG
آلودشان	AJ$آلود+POS PRO3PL
آلودم	AJ$آلود+POS PRO1SG#POS COP1SG
آلودمی	AJ$آلود+POS PRO1SG YEH#POS PRO1SG COP2SG
آلوده	AJ$آلوده+POS
آلوده‌ئی	AJ$آلوده+POS YEH
آلوده‌اش	AJ$آلوده+POS PRO3SG
آلوده‌ام	AJ$آلوده+POS PRO1SG#POS COP1SG
آلوده‌اند	AJ$آلوده+POS COP3PL
آلوده‌ای	AJ$آلوده+POS COP2SG
آلوده‌ایم	AJ$آلوده+POS COP1PL
آلوده‌دامان	AJ$آلوده‌دامان+POS
آلوده‌دامن	AJ$آلوده‌دامن+POS
آلوده‌ست	AJ$آلوده+POS COP3SG
آلوده‌ی	AJ$آلوده+POS EZ#POS COP2SG
آلودی	AJ$آلود+POS YEH#POS COP2SG
آلودیم	AJ$آلود+POS COP1PL#POS YEH COP1SG
آلی	AJ$آلی+POS*آل+POS YEH#POS COP2SG
آماده	AJ$آماده+POS
آماده‌ام	AJ$آماده+POS PRO1SG#POS COP1SG
آماده‌ای	AJ$آماده+POS COP2SG
آماده‌ایم	AJ$آماده+POS COP1PL
آماده‌تر	AJ$آماده+COMP
آماده‌ست	AJ$آماده+POS COP3SG
آماده‌ی	AJ$آماده+POS EZ#POS COP2SG
آمخته	AJ$آمخته+POS
آمده	AJ$آمده+POS
آمده‌است	AJ$آمده+POS COP3SG
آمده‌ام	AJ$آمده+POS PRO1SG#POS COP1SG
آمده‌اند	AJ$آمده+POS COP3PL
آمده‌ای	AJ$آمده+POS COP2SG
آمده‌ایم	AJ$آمده+POS COP1PL
آمده‌ست	AJ$آمده+POS COP3SG
آمده‌ستم	AJ$آمده+POS COP1SG
آمده‌ی	AJ$آمده+POS EZ#POS COP2SG
آمر	AJ$آمر+POS
آمرت	AJ$آمر+POS PRO2SG
آمرزگار	AJ$آمرزگار+POS
آمرزگارم	AJ$آمرزگار+POS PRO1SG#POS COP1SG
آمرزگاری	AJ$آمرزگار+POS YEH#POS COP2SG
آمرزیده	AJ$آمرزیده+POS
آمرزیده‌ی	AJ$آمرزیده+POS EZ#POS COP2SG
آمرست	AJ$آمر+POS COP3SG
آمری	AJ$آمر+POS YEH#POS COP2SG
آمل	AJ$آمل+POS
آمن	AJ$آمن+POS
آمنت	AJ$آمن+POS PRO2SG
آمنست	AJ$آمن+POS COP3SG
آمنم	AJ$آمن+POS PRO1SG#POS COP1SG
آمنی	AJ$آمن+POS YEH#POS COP2SG
آمنیست	AJ$آمن+POS YEH COP3SG
آموخته	AJ$آموخته+POS
آموخته‌ام	AJ$آموخته+POS PRO1SG#POS COP1SG
آموخته‌اند	AJ$آموخته+POS COP3PL
آموخته‌ای	AJ$آموخته+POS COP2SG
آموخته‌ایم	AJ$آموخته+POS COP1PL
آموخته‌تر	AJ$آموخته+COMP
آموخته‌ست	AJ$آموخته+POS COP3SG
آموخته‌ستیم	AJ$آموخته+POS COP1PL
آموده	AJ$آموده+POS
آموزشی	AJ$آموزشی+POS
آمیخته	AJ$آمیخته+POS
آمیخته‌ام	AJ$آمیخته+POS PRO1SG#POS COP1SG
آمیخته‌اند	AJ$آمیخته+POS COP3PL
آمیخته‌ای	AJ$آمیخته+POS COP2SG
آمیخته‌ایم	AJ$آمیخته+POS COP1PL
آمیخته‌ست	AJ$آمیخته+POS COP3SG
آمیزشی	AJ$آمیزشی+POS
آمیزشیست	AJ$آمیزشی+POS COP3SG
آمیزگار	AJ$آمیزگار+POS
آمیزگاری	AJ$آمیزگار+POS YEH#POS COP2SG
آنچنانی	AJ$آنچنانی+POS
آنگونه	AJ$آنگونه+POS
آنی	AJ$آنی+POS
آنیم	AJ$آنی+POS PRO1SG#POS COP1SG
آنیی	AJ$آنی+POS EZ#POS COP2SG
آهخته	AJ$آهخته+POS
آهسته	AJ$آهسته+POS
آهسته‌اش	AJ$آهسته+POS PRO3SG
آهسته‌ای	AJ$آهسته+POS COP2SG
آهسته‌ایم	AJ$آهسته+POS COP1PL
آهسته‌تر	AJ$آهسته+COMP
آهسته‌ست	AJ$آهسته+POS COP3SG
آهنگری	AJ$آهنگری+POS
آهنگریم	AJ$آهنگری+POS PRO1SG#POS COP1SG
آهنی	AJ$آهنی+POS
آهنیست	AJ$آهنی+POS COP3SG
آهنیم	AJ$آهنی+POS PRO1SG#POS COP1SG
آهن‌ربا	AJ$آهن‌ربا+POS
آهن‌ربایی	AJ$آهن‌ربا+POS YEH*آهن‌ربایی+POS
آهوچشم	AJ$آهوچشم+POS
آهیخته	AJ$آهیخته+POS
آوار	AJ$آوار+POS
آوارم	AJ$آوار+POS PRO1SG#POS COP1SG
آواره	AJ$آواره+POS
آواره‌ای	AJ$آواره+POS COP2SG
آواره‌ایم	AJ$آواره+POS COP1PL
آواره‌ی	AJ$آواره+POS EZ#POS COP2SG
آواری	AJ$آوار+POS YEH#POS COP2SG*آواری+POS
آواریم	AJ$آوار+POS COP1PL#POS YEH COP1SG*آواری+POS PRO1SG#POS COP1SG
آوایی	AJ$آوایی+POS
آواییم	AJ$آوایی+POS PRO1SG#POS COP1SG
آوران	AJ$آوران+POS
آورانرا	AJ$آوران+POS POSTP
آورده	AJ$آورده+POS
آورده‌ئی	AJ$آورده+POS YEH
آورده‌ام	AJ$آورده+POS PRO1SG#POS COP1SG
آورده‌اند	AJ$آورده+POS COP3PL
آورده‌ای	AJ$آورده+POS COP2SG
آورده‌اید	AJ$آورده+POS COP2PL
آورده‌ایم	AJ$آورده+POS COP1PL
آورده‌ست	AJ$آورده+POS COP3SG
آورده‌ی	AJ$آورده+POS EZ#POS COP2SG
آوری	AJ$آوری+POS
آوریست	AJ$آوری+POS COP3SG
آوریش	AJ$آوری+POS PRO3SG
آوریم	AJ$آوری+POS PRO1SG#POS COP1SG
آوندی	AJ$آوندی+POS
آونگ	AJ$آونگ+POS
آونگان	AJ$آونگان+POS
آونگشان	AJ$آونگ+POS PRO3PL
آونگم	AJ$آونگ+POS PRO1SG#POS COP1SG
آونگی	AJ$آونگ+POS YEH#POS COP2SG
آویخته	AJ$آویخته+POS
آویخته‌ام	AJ$آویخته+POS PRO1SG#POS COP1SG
آویخته‌اند	AJ$آویخته+POS COP3PL
آویخته‌ای	AJ$آویخته+POS COP2SG
آویخته‌ست	AJ$آویخته+POS COP3SG
آویزان	AJ$آویزان+POS
آویزانست	AJ$آویزان+POS COP3SG
آژده	AJ$آژده+POS
آژیر	AJ$آژیر+POS
آژیرتر	AJ$آژیر+COMP
آکل	AJ$آکل+POS
آکلست	AJ$آکل+POS COP3SG
آکلی	AJ$آکل+POS YEH#POS COP2SG
آکند	AJ$آک+POS COP3PL
آکنده	AJ$آکنده+POS
آکنده‌اند	AJ$آکنده+POS COP3PL
آکنده‌ای	AJ$آکنده+POS COP2SG
آگاه	AJ$آگاه+POS
آگاهت	AJ$آگاه+POS PRO2SG
آگاهش	AJ$آگاه+POS PRO3SG
آگاهم	AJ$آگاه+POS PRO1SG
آگاهمی	AJ$آگاه+POS PRO1SG YEH#POS PRO1SG COP2SG
آگاهیی	AJ$آگاه+POS YEH
آگاه‌تر	AJ$آگاه+COMP
آگاه‌تریم	AJ$آگاه+COMP COP1PL#COMP YEH COP1SG
آگنده	AJ$آگنده+POS
آگنده‌ام	AJ$آگنده+POS PRO1SG#POS COP1SG
آگنده‌اند	AJ$آگنده+POS COP3PL
آگنده‌ای	AJ$آگنده+POS COP2SG
آگنده‌ایم	AJ$آگنده+POS COP1PL
آگنده‌تر	AJ$آگنده+COMP
آگنده‌ست	AJ$آگنده+POS COP3SG
آیس	AJ$آیس+POS
آینده	AJ$آینده+POS
آینده‌اند	AJ$آینده+POS COP3PL
آینده‌ایم	AJ$آینده+POS COP1PL
آینده‌ی	AJ$آینده+POS EZ#POS COP2SG
آینه‌دار	AJ$آینه‌دار+POS
آینه‌داری	AJ$آینه‌دار+POS YEH#POS COP2SG
ابتر	AJ$ابتر+POS
ابترست	AJ$ابتر+POS COP3SG
ابترش	AJ$ابتر+POS PRO3SG
ابترم	AJ$ابتر+POS PRO1SG#POS COP1SG
ابترند	AJ$ابتر+POS COP3PL
ابتری	AJ$ابتر+POS YEH#POS COP2SG
ابجدی	AJ$ابجدی+POS
ابجدیم	AJ$ابجدی+POS PRO1SG#POS COP1SG
ابخازیی	AJ$ابخازی+POS EZ#POS COP2SG
ابخر	AJ$ابخر+POS
ابخرند	AJ$ابخر+POS COP3PL
ابدی	AJ$ابدی+POS
ابدیست	AJ$ابدی+POS COP3SG
ابدیش	AJ$ابدی+POS PRO3SG
ابردست	AJ$ابرد+POS COP3SG
ابرش	AJ$ابرش+POS
ابرشت	AJ$ابرش+POS PRO2SG
ابرشی	AJ$ابرش+POS YEH#POS COP2SG
ابرشیم	AJ$ابرش+POS COP1PL#POS YEH COP1SG
ابرص	AJ$ابرص+POS
ابرویی	AJ$ابرویی+POS
ابروییست	AJ$ابرویی+POS COP3SG
ابری	AJ$ابری+POS
ابریت	AJ$ابری+POS PRO2SG
ابریز	AJ$ابریز+POS
ابریست	AJ$ابری+POS COP3SG
ابریشم	AJ$ابری+POS PRO3SG COP1SG
ابریشمی	AJ$ابریشمی+POS
ابریشمین	AJ$ابریشمین+POS
ابریم	AJ$ابری+POS PRO1SG#POS COP1SG
ابعد	AJ$ابعد+POS
ابلق	AJ$ابلق+POS
ابلقش	AJ$ابلق+POS PRO3SG
ابلقی	AJ$ابلق+POS YEH#POS COP2SG
ابله	AJ$ابله+POS
ابلهانه	AJ$ابلهانه+POS
ابلهش	AJ$ابله+POS PRO3SG
ابلهم	AJ$ابله+POS PRO1SG
ابله‌ترست	AJ$ابله+COMP COP3SG
ابلیسانه	AJ$ابلیسانه+POS
ابلیسی	AJ$ابلیسی+POS
ابکار	AJ$ابکار+POS
ابی	AJ$ابی+POS
ابیت	AJ$ابی+POS PRO2SG
ابیض	AJ$ابیض+POS
اتصالی	AJ$اتصالی+POS
اتفاقی	AJ$اتفاقی+POS
اتم	AJ$اتم+POS
اتمامی	AJ$اتمامی+POS
اتمم	AJ$اتم+POS PRO1SG#POS COP1SG
اتینا	AJ$اتینا+POS
اثباتی	AJ$اثباتی+POS
اثباتیست	AJ$اثباتی+POS COP3SG
اثربخش	AJ$اثربخش+POS
اثیری	AJ$اثیری+POS
اجاج	AJ$اجاج+POS
اجتماعی	AJ$اجتماعی+POS
اجل	AJ$اجل+POS
اجلالی	AJ$اجلالی+POS
اجلالیستی	AJ$اجلالی+POS COP2SG
اجلت	AJ$اجل+POS PRO2SG
اجلتان	AJ$اجل+POS PRO2PL
اجلرا	AJ$اجل+POS POSTP
اجلش	AJ$اجل+POS PRO3SG
اجلشان	AJ$اجل+POS PRO3PL
اجلم	AJ$اجل+POS PRO1SG#POS COP1SG
اجلی	AJ$اجل+POS YEH#POS COP2SG
اجلید	AJ$اجل+POS COP2PL
اجل‌ست	AJ$اجل+POS COP3SG
اجمل	AJ$اجمل+POS
اجنبی	AJ$اجنبی+POS
اجهل	AJ$اجهل+POS
