آ	N$آ+SG#
آبنوسش	N$آبنوس+SG PRO3SG#
آبنوسم	N$آبنوس+SG PRO1SG#SG COP1SG#
آبنوسی	N$آبنوسی+SG#آبنوس+SG YEH#SG COP2SG#
آبها	N$آب+PL#
آبهاست	N$آب+PL COP3SG#
آبهای	N$آب+PL COP2SG#PL EZ#
آبکش	N$آبک+SG PRO3SG#آبکش+SG#
آبکند	N$آبک+SG COP3PL#آبکند+SG#
آبکندی	N$آبکند+SG YEH#SG COP2SG#
آبکی	AJ$آبکی+POS#N$آبک+SG YEH#SG COP2SG#
آبگون	AJ$آبگون+POS#
آبگونم	AJ$آبگون+POS COP1SG#POS PRO1SG#
آبگونی	AJ$آبگون+POS COP2SG#POS YEH#
آبگون‌ست	AJ$آبگون+POS COP3SG#
آبگیر	AJ$آبگیر+POS#N$آبگیر+SG#
آبگیران	N$آبگیر+PL#
آبگیرست	AJ$آبگیر+POS COP3SG#N$آبگیر+SG COP3SG#
آبگیرش	AJ$آبگیر+POS PRO3SG#N$آبگیر+SG PRO3SG#
آبگیرها	N$آبگیر+PL#
آبگیرهای	N$آبگیر+PL COP2SG#PL EZ#
آبگیری	AJ$آبگیر+POS COP2SG#POS YEH#N$آبگیر+SG YEH#SG COP2SG#آبگیری+SG#
آبگین	AJ$آبگین+POS#
آبگینست	AJ$آبگین+POS COP3SG#
آبگینش	AJ$آبگین+POS PRO3SG#
آبگینه	N$آبگینه+SG#
آبگینه‌ای	N$آبگینه+SG COP2SG#
آبگینه‌ست	N$آبگینه+SG COP3SG#
آبگینه‌ها	N$آبگینه+PL#
آبگینه‌ی	N$آبگینه+SG EZ#SG COP2SG#
آبی	AJ$آبی+POS#N$آبی+SG#آب+SG YEH#SG COP2SG#
آبیار	N$آبیار+SG#
آبیاری	N$آبیار+SG YEH#SG COP2SG#آبیاری+SG#
آبیست	AJ$آبی+POS COP3SG#N$آبی+SG COP3SG#آب+SG YEH COP3SG#
آبیم	AJ$آبی+POS COP1SG#N$آبی+SG COP1SG#آب+SG COP1PL#SG YEH COP1SG#
آبیی	AJ$آبی+POS EZ#POS COP2SG#N$آبی+SG EZ#SG COP2SG#آب+SG YEH COP2SG#
آبی‌ای	AJ$آبی+POS COP2SG#N$آبی+SG COP2SG#آب+SG YEH COP2SG#
آبی‌ست	AJ$آبی+POS COP3SG#N$آبی+SG COP3SG#آب+SG YEH COP3SG#
آب‌ام	N$آب+SG COP1SG#
آب‌جو	N$آب‌جو+SG#
آب‌خورد	N$آب‌خورد+SG#
آب‌خوردش	N$آب‌خورد+SG PRO3SG#
آب‌خورش	N$آب‌خورش+SG#
آب‌شور	AJ$آب‌شور+POS#
آب‌مان	N$آب+SG PRO1PL#
آب‌ها	N$آب+PL#
آب‌های	N$آب+PL COP2SG#PL EZ#
آب‌گون	AJ$آب‌گون+POS#
آب‌گیر	AJ$آب‌گیر+POS#N$آب‌گیر+SG#
آت	N$آ+SG PRO2SG#
آتا	N$آتا+SG#
آتش	N$آتش+SG#
آتشان	N$آتش+PL#
آتشبار	AJ$آتشبار+POS#N$آتشبار+SG#
آتشت	N$آتش+SG PRO2SG#
آتشتان	N$آتش+SG PRO2PL#
آتشخانه	N$آتشخانه+SG#
آتشخانه‌ی	N$آتشخانه+SG EZ#SG COP2SG#
آتشدان	N$آتشدان+SG#
آتشست	N$آتش+SG COP3SG#
آتشش	N$آتش+SG PRO3SG#
آتششان	N$آتش+SG PRO3PL#
آتشم	N$آتش+SG PRO1SG#SG COP1SG#
آتشند	N$آتش+SG COP3PL#
آتشها	N$آتش+PL#
آتشهای	N$آتش+PL COP2SG#PL EZ#
آتشگاه	N$آتشگاه+SG#
آتشگه	N$آتشگه+SG#
آتشگون	AJ$آتشگون+POS#
آتشی	AJ$آتشی+POS#N$آتش+SG YEH#SG COP2SG#
آتشیست	AJ$آتشی+POS COP3SG#N$آتش+SG YEH COP3SG#
آتشیم	AJ$آتشی+POS COP1SG#N$آتش+SG COP1PL#SG YEH COP1SG#
آتشیی	AJ$آتشی+POS EZ#POS COP2SG#N$آتش+SG YEH COP2SG#
آتشی‌اند	AJ$آتشی+POS COP3PL#N$آتش+SG YEH COP3PL#
آتشی‌ست	AJ$آتشی+POS COP3SG#N$آتش+SG YEH COP3SG#
آتش‌افروز	AJ$آتش‌افروز+POS#N$آتش‌افروز+SG#
آتش‌ام	N$آتش+SG COP1SG#
آتش‌اند	N$آتش+SG COP3PL#
آتش‌بار	AJ$آتش‌بار+POS#N$آتش‌بار+SG#
آتش‌خوار	N$آتش‌خوار+SG#
آتش‌زای	AJ$آتش‌زا+POS EZ#POS COP2SG#
آتش‌زبان	AJ$آتش‌زبان+POS#N$آتش‌زبان+SG#
آتش‌زنه	N$آتش‌زنه+SG#
آتش‌زنه‌ای	N$آتش‌زنه+SG COP2SG#
آتش‌زنه‌ست	N$آتش‌زنه+SG COP3SG#
آتش‌زنه‌ی	N$آتش‌زنه+SG EZ#SG COP2SG#
آتش‌ست	N$آتش+SG COP3SG#
آتش‌فشان	N$آتش‌فشان+SG#
آتش‌فشانی	AJ$آتش‌فشانی+POS#N$آتش‌فشانی+SG#آتش‌فشان+SG YEH#SG COP2SG#
آتش‌نشانی	N$آتش‌نشان+SG YEH#SG COP2SG#آتش‌نشانی+SG#
آتش‌ها	N$آتش+PL#
آتش‌های	N$آتش+PL COP2SG#PL EZ#
آتش‌پا	AJ$آتش‌پا+POS#
آتش‌پاره‌ای	N$آتش‌پاره+SG COP2SG#
آتش‌پاره‌ی	N$آتش‌پاره+SG EZ#SG COP2SG#
آتش‌پرست	AJ$آتش‌پرست+POS#N$آتش‌پرست+SG#
آتش‌پرستان	N$آتش‌پرست+PL#
آتش‌پرستی	AJ$آتش‌پرست+POS COP2SG#POS YEH#N$آتش‌پرست+SG YEH#SG COP2SG#آتش‌پرستی+SG#
آتش‌کده	N$آتش‌کده+SG#
آتش‌کش	N$آتش‌کش+SG#
آتش‌کشی	N$آتش‌کش+SG YEH#SG COP2SG#
آتش‌کشی‌ام	N$آتش‌کش+SG YEH COP1SG#
آتش‌کنی	N$آتش‌کن+SG YEH#SG COP2SG#
آتش‌گه	N$آتش‌گه+SG#
آتش‌گون	AJ$آتش‌گون+POS#
آتل	N$آتل+SG#
آتی	AJ$آتی+POS#N$آ+SG PRO2SG COP2SG#SG PRO2SG YEH#
آثار	N$اثر+PL#آثار+SG#
آثارت	N$اثر+PL PRO2SG#آثار+SG PRO2SG#
آثارست	N$اثر+PL COP3SG#آثار+SG COP3SG#
آثارش	N$اثر+PL PRO3SG#آثار+SG PRO3SG#
آثارم	N$اثر+PL COP1SG#PL PRO1SG#آثار+SG PRO1SG#SG COP1SG#
آثاری	N$اثر+PL YEH#PL COP2SG#آثار+SG YEH#SG COP2SG#
آثام	N$آثام+SG#اثم+PL#
آجال	N$اجل+PL#آجال+SG#
آجام	N$آجام+SG#
آجر	N$آجر+SG#
آجرت	N$آجر+SG PRO2SG#
آجل	AJ$آجل+POS#N$آجل+SG#
آجلست	AJ$آجل+POS COP3SG#N$آجل+SG COP3SG#
آجلش	AJ$آجل+POS PRO3SG#N$آجل+SG PRO3SG#
آجیده	N$آجیده+SG#
آحاد	N$آحاد+SG#احد+PL#
آحادست	N$آحاد+SG COP3SG#احد+PL COP3SG#
آحادم	N$آحاد+SG PRO1SG#SG COP1SG#احد+PL COP1SG#PL PRO1SG#
آحادی	N$آحاد+SG YEH#SG COP2SG#احد+PL YEH#PL COP2SG#
آحادیم	N$آحاد+SG COP1PL#SG YEH COP1SG#احد+PL COP1PL#PL YEH COP1SG#
آخال	N$آخال+SG#
آخته	AJ$آخته+POS#N$آخته+SG#
آخته‌ای	AJ$آخته+POS COP2SG#N$آخته+SG COP2SG#
آخته‌ست	AJ$آخته+POS COP3SG#N$آخته+SG COP3SG#
آخر	AJ$آخر+POS#N$آخر+SG#
آخرالزمان	N$آخرالزمان+SG#
آخرالزمانست	N$آخرالزمان+SG COP3SG#
آخرالزمانم	N$آخرالزمان+SG PRO1SG#SG COP1SG#
آخرالزمانی	N$آخرالزمان+SG YEH#SG COP2SG#
آخران	N$آخر+PL#
آخراندیشی	AJ$آخراندیش+POS COP2SG#POS YEH#N$آخراندیشی+SG#
آخربین	AJ$آخربین+POS#
آخربینت	AJ$آخربین+POS PRO2SG#
آخربین‌تر	AJ$آخربین+COMP#
آخرت	AJ$آخر+POS PRO2SG#N$آخرت+SG#آخر+SG PRO2SG#
آخرتت	N$آخرت+SG PRO2SG#
آخرتر	AJ$آخر+COMP#
آخرترین	AJ$آخر+SUP#
آخرتست	AJ$آخر+POS PRO2SG COP3SG#N$آخرت+SG COP3SG#آخر+SG PRO2SG COP3SG#
آخرتش	N$آخرت+SG PRO3SG#
آخرتیم	AJ$آخر+POS PRO2SG COP1PL#POS PRO2SG YEH COP1SG#N$آخرت+SG COP1PL#SG YEH COP1SG#آخر+SG PRO2SG YEH COP1SG#SG PRO2SG COP1PL#
آخرزمان	N$آخرزمان+SG#
آخرزمانست	N$آخرزمان+SG COP3SG#
آخرست	AJ$آخر+POS COP3SG#N$آخر+SG COP3SG#
آخرش	AJ$آخر+POS PRO3SG#N$آخر+SG PRO3SG#
آخرم	AJ$آخر+POS COP1SG#POS PRO1SG#N$آخر+SG PRO1SG#SG COP1SG#
آخرند	AJ$آخر+POS COP3PL#N$آخر+SG COP3PL#
آخرهای	N$آخر+PL COP2SG#PL EZ#
آخری	AJ$آخری+POS#آخر+POS COP2SG#POS YEH#N$آخر+SG YEH#SG COP2SG#
آخریان	N$آخریان+SG#
آخریست	AJ$آخری+POS COP3SG#آخر+POS YEH COP3SG#N$آخر+SG YEH COP3SG#
آخرین	AJ$آخرین+POS#
آخرینش	AJ$آخرین+POS PRO3SG#
آخشیج	N$آخشیج+SG#
آخشیجان	N$آخشیج+PL#
آخور	N$آخور+SG#
آخورت	N$آخور+SG PRO2SG#
آخورش	N$آخور+SG PRO3SG#
آخوری	N$آخور+SG YEH#SG COP2SG#
آداب	N$آداب+SG#
آدابش	N$آداب+SG PRO3SG#
آدابی	N$آداب+SG YEH#SG COP2SG#
آدر	N$آدر+SG#
آدم	N$آدم+SG#
آدمت	N$آدم+SG PRO2SG#
آدمست	N$آدم+SG COP3SG#
آدمش	N$آدم+SG PRO3SG#
آدمم	N$آدم+SG PRO1SG#SG COP1SG#
آدمند	N$آدم+SG COP3PL#
آدمک	N$آدمک+SG#
آدمی	AJ$آدمی+POS#N$آدم+SG YEH#SG COP2SG#آدمی+SG#
آدمیان	N$آدمی+PL#
آدمیانست	N$آدمی+PL COP3SG#
آدمیانی	N$آدمی+PL YEH#PL COP2SG#
آدمیانید	N$آدمی+PL COP2PL#
آدمید	N$آدم+SG COP2PL#
آدمیزاد	N$آدمیزاد+SG#
آدمیزادست	N$آدمیزاد+SG COP3SG#
آدمیزاده	N$آدمیزاده+SG#
آدمیزادگان	N$آدمیزاده+PL#
آدمیزادی	N$آدمیزاد+SG YEH#SG COP2SG#
آدمیست	AJ$آدمی+POS COP3SG#N$آدم+SG YEH COP3SG#آدمی+SG COP3SG#
آدمیم	AJ$آدمی+POS COP1SG#N$آدم+SG COP1PL#SG YEH COP1SG#آدمی+SG COP1SG#
آدمیند	AJ$آدمی+POS COP3PL#N$آدم+SG YEH COP3PL#آدمی+SG COP3PL#
آدمیی	AJ$آدمی+POS EZ#POS COP2SG#N$آدم+SG YEH COP2SG#آدمی+SG EZ#SG COP2SG#
آدمی‌ام	AJ$آدمی+POS COP1SG#N$آدم+SG YEH COP1SG#آدمی+SG COP1SG#
آدمی‌اند	AJ$آدمی+POS COP3PL#N$آدم+SG YEH COP3PL#آدمی+SG COP3PL#
آدمی‌ست	AJ$آدمی+POS COP3SG#N$آدم+SG YEH COP3SG#آدمی+SG COP3SG#
آدم‌ام	N$آدم+SG COP1SG#
آدم‌اند	N$آدم+SG COP3PL#
آدم‌روی	N$آدم‌رو+SG EZ#SG COP2SG#
آدینه	N$آدینه+SG#
آدینه‌ای	N$آدینه+SG COP2SG#
آدینه‌ها	N$آدینه+PL#
آدینه‌ی	N$آدینه+SG EZ#SG COP2SG#
آذار	N$آذار+SG#
آذاری	N$آذار+SG YEH#SG COP2SG#
آذر	N$آذر+SG#
آذران	N$آذران+SG#آذر+PL#
آذرت	N$آذر+SG PRO2SG#
آذرست	N$آذر+SG COP3SG#
آذرش	N$آذر+SG PRO3SG#
آذرشست	N$آذرشست+SG#آذر+SG PRO3SG COP3SG#
آذرم	N$آذرم+SG#آذر+SG PRO1SG#SG COP1SG#
آذرند	N$آذر+SG COP3PL#
آذرنگ	N$آذرنگ+SG#
آذرنگی	N$آذرنگ+SG YEH#SG COP2SG#
آذرها	N$آذر+PL#
آذرپرست	N$آذرپرست+SG#
آذرگشسپ	N$آذرگشسپ+SG#
آذرگون	AJ$آذرگون+POS#N$آذرگون+SG#
آذری	AJ$آذری+POS#N$آذری+SG#آذر+SG YEH#SG COP2SG#
آذریست	AJ$آذری+POS COP3SG#N$آذری+SG COP3SG#آذر+SG YEH COP3SG#
آذرین	AJ$آذرین+POS#N$آذرین+SG#
آذریون	N$آذریون+SG#
آذوقه	N$آذوقه+SG#
آذوقه‌ی	N$آذوقه+SG EZ#SG COP2SG#
آذین	N$آذین+SG#
آرا	N$آرا+SG#رأی+PL#آ+SG POSTP#
آرائی	N$آرا+SG YEH#رأی+PL YEH#
آرائیست	N$آرا+SG YEH COP3SG#رأی+PL YEH COP3SG#
آرائیم	N$آرا+SG YEH COP1SG#رأی+PL YEH COP1SG#
آراد	N$آراد+SG#
آراست	N$آرا+SG COP3SG#رأی+PL COP3SG#
آرام	AJ$آرام+POS#N$آرا+SG COP1SG#آرام+SG#رأی+PL COP1SG#
آرامت	AJ$آرام+POS PRO2SG#N$آرام+SG PRO2SG#
آرامتان	AJ$آرام+POS PRO2PL#N$آرام+SG PRO2PL#
آرامست	AJ$آرام+POS COP3SG#N$آرام+SG COP3SG#
آرامش	AJ$آرام+POS PRO3SG#N$آرام+SG PRO3SG#آرامش+SG#
آرامشان	AJ$آرام+POS PRO3PL#N$آرام+SG PRO3PL#آرامش+PL#
آرامشی	AJ$آرام+POS PRO3SG YEH#POS PRO3SG COP2SG#N$آرام+SG PRO3SG COP2SG#SG PRO3SG YEH#آرامش+SG YEH#SG COP2SG#
آرامم	AJ$آرام+POS COP1SG#POS PRO1SG#N$آرام+SG PRO1SG#SG COP1SG#
آرامها	N$آرام+PL#
آرامگاه	N$آرامگاه+SG#
آرامی	AJ$آرامی+POS#آرام+POS COP2SG#POS YEH#N$آرامی+SG#آرام+SG YEH#SG COP2SG#
آرامید	AJ$آرام+POS COP2PL#N$آرام+SG COP2PL#
آرامی‌ها	N$آرامی+PL#
آرای	N$آرا+SG EZ#SG COP2SG#رأی+PL COP2SG#PL EZ#آرای+SG#
آرایان	N$آرای+PL#
آرایت	N$آرا+SG PRO2SG#رأی+PL PRO2SG#
آراید	N$آرا+SG COP2PL#رأی+PL COP2PL#
آرایش	N$آرا+SG PRO3SG#آرایش+SG#رأی+PL PRO3SG#
آرایشست	N$آرا+SG PRO3SG COP3SG#آرایش+SG COP3SG#رأی+PL PRO3SG COP3SG#
آرایشم	N$آرا+SG PRO3SG COP1SG#آرایش+SG PRO1SG#SG COP1SG#رأی+PL PRO3SG COP1SG#
آرایشی	AJ$آرایشی+POS#N$آرا+SG PRO3SG COP2SG#SG PRO3SG YEH#آرایش+SG YEH#SG COP2SG#رأی+PL PRO3SG COP2SG#PL PRO3SG YEH#
آرایم	N$آرا+SG COP1PL#SG PRO1SG#رأی+PL COP1PL#PL PRO1SG#آرای+SG COP1SG#
آرایند	N$آرای+SG COP3PL#
آرایی	N$آرا+SG YEH#رأی+PL YEH#آرای+SG EZ#SG COP2SG#
آرایید	N$آرای+SG COP2PL#
آراییم	N$آرا+SG YEH COP1SG#رأی+PL YEH COP1SG#آرای+SG COP1PL#SG PRO1SG#
آرد	N$آرد+SG#
آردت	N$آرد+SG PRO2SG#
آردش	N$آرد+SG PRO3SG#
آردشان	N$آرد+SG PRO3PL#
آردم	N$آرد+SG PRO1SG#SG COP1SG#
آردمان	N$آرد+SG PRO1PL#
آردنشانی	N$آردن+SG PRO3PL COP2SG#SG PRO3PL YEH#
آردی	AJ$آردی+POS#N$آرد+SG YEH#SG COP2SG#
آرزو	N$آرزو+SG#
آرزوئی	N$آرزو+SG YEH#
آرزوئیست	N$آرزو+SG YEH COP3SG#
آرزوئیم	N$آرزو+SG YEH COP1SG#
آرزوست	N$آرزو+SG COP3SG#
آرزوم	N$آرزو+SG COP1SG#
آرزومند	AJ$آرزومند+POS#
آرزومندست	AJ$آرزومند+POS COP3SG#
آرزومندش	AJ$آرزومند+POS PRO3SG#
آرزومندم	AJ$آرزومند+POS COP1SG#POS PRO1SG#
آرزومندی	AJ$آرزومند+POS COP2SG#POS YEH#N$آرزومندی+SG#
آرزومندیم	AJ$آرزومند+POS COP1PL#POS YEH COP1SG#N$آرزومندی+SG COP1SG#
آرزوها	N$آرزو+PL#
آرزوهاست	N$آرزو+PL COP3SG#
آرزوهای	N$آرزو+PL COP2SG#PL EZ#
آرزوی	N$آرزو+SG EZ#SG COP2SG#
آرزویت	N$آرزو+SG PRO2SG#
آرزویش	N$آرزو+SG PRO3SG#
آرزویشان	N$آرزو+SG PRO3PL#
آرزویم	N$آرزو+SG COP1PL#SG PRO1SG#
آرزویی	N$آرزو+SG YEH#
آرش	N$آرش+SG#
آرشست	N$آرش+SG COP3SG#
آرشش	N$آرش+SG PRO3SG#
آرشم	N$آرش+SG PRO1SG#SG COP1SG#
آرشی	N$آرش+SG YEH#SG COP2SG#
آرم	N$آرم+SG#
آرمان	N$آرمان+SG#آرم+PL#
آرمت	N$آرم+SG PRO2SG#
آرمش	N$آرم+SG PRO3SG#
آرمی	N$آرم+SG YEH#SG COP2SG#
آرمید	N$آرم+SG COP2PL#
آرمیدگی	N$آرمیدگی+SG#
آرمیی	N$آرم+SG YEH COP2SG#
آرنگ	N$آرنگ+SG#
آرنگان	N$آرنگ+PL#
آرو	AJ$آرو+POS#
آروغ	N$آروغ+SG#
آروغت	N$آروغ+SG PRO2SG#
آروق	N$آروق+SG#
آز	N$آز+SG#
آزاد	AJ$آزاد+POS#N$آزاد+SG#
آزادان	N$آزاد+PL#
آزادانت	N$آزاد+PL PRO2SG#
آزادت	AJ$آزاد+POS PRO2SG#N$آزاد+SG PRO2SG#
آزادتر	AJ$آزاد+COMP#
آزادست	AJ$آزاد+POS COP3SG#N$آزاد+SG COP3SG#
آزادسرو	N$آزادسرو+SG#
آزادش	AJ$آزاد+POS PRO3SG#N$آزاد+SG PRO3SG#
آزادشان	AJ$آزاد+POS PRO3PL#N$آزاد+SG PRO3PL#
آزادم	AJ$آزاد+POS COP1SG#POS PRO1SG#N$آزاد+SG PRO1SG#SG COP1SG#
آزادمرد	AJ$آزادمرد+POS#N$آزادمرد+SG#
آزادمردان	N$آزادمرد+PL#
آزادمردی	AJ$آزادمرد+POS COP2SG#POS YEH#N$آزادمرد+SG YEH#SG COP2SG#
آزادمردیست	AJ$آزادمرد+POS YEH COP3SG#N$آزادمرد+SG YEH COP3SG#
آزادمی	AJ$آزاد+POS PRO1SG COP2SG#POS PRO1SG YEH#N$آزاد+SG PRO1SG COP2SG#SG PRO1SG YEH#
آزادند	AJ$آزاد+POS COP3PL#N$آزاد+SG COP3PL#
آزاده	AJ$آزاده+POS#N$آزاده+SG#
آزاده‌ئی	AJ$آزاده+POS YEH#N$آزاده+SG YEH#
آزاده‌ام	AJ$آزاده+POS COP1SG#POS PRO1SG#N$آزاده+SG PRO1SG#SG COP1SG#
آزاده‌ای	AJ$آزاده+POS COP2SG#N$آزاده+SG COP2SG#
آزاده‌اید	AJ$آزاده+POS COP2PL#N$آزاده+SG COP2PL#
آزاده‌ایم	AJ$آزاده+POS COP1PL#N$آزاده+SG COP1PL#
آزاده‌تر	AJ$آزاده+COMP#
آزاده‌ی	AJ$آزاده+POS EZ#POS COP2SG#N$آزاده+SG EZ#SG COP2SG#
آزاده‌یی	AJ$آزاده+POS YEH#N$آزاده+SG YEH#
آزادوار	AJ$آزادوار+POS#N$آزادوار+SG#
آزادگان	N$آزاده+PL#آزادگان+SG#
آزادگانرا	N$آزاده+PL POSTP#آزادگان+SG POSTP#
آزادگانست	N$آزاده+PL COP3SG#آزادگان+SG COP3SG#
آزادگانم	N$آزاده+PL COP1SG#PL PRO1SG#آزادگان+SG PRO1SG#SG COP1SG#
آزادگانیم	N$آزاده+PL COP1PL#PL YEH COP1SG#آزادگان+SG COP1PL#SG YEH COP1SG#
آزادگی	N$آزادگی+SG#
آزادگیست	N$آزادگی+SG COP3SG#
آزادگی‌ام	N$آزادگی+SG COP1SG#
آزادی	AJ$آزاد+POS COP2SG#POS YEH#N$آزادی+SG#آزاد+SG YEH#SG COP2SG#
آزادیست	AJ$آزاد+POS YEH COP3SG#N$آزادی+SG COP3SG#آزاد+SG YEH COP3SG#
آزادیم	AJ$آزاد+POS COP1PL#POS YEH COP1SG#N$آزادی+SG COP1SG#آزاد+SG COP1PL#SG YEH COP1SG#
آزادیهاست	N$آزادی+PL COP3SG#
آزادیی	AJ$آزاد+POS YEH COP2SG#N$آزادی+SG EZ#SG COP2SG#آزاد+SG YEH COP2SG#
آزادی‌ام	AJ$آزاد+POS YEH COP1SG#N$آزادی+SG COP1SG#آزاد+SG YEH COP1SG#
آزار	N$آزار+SG#
آزارت	N$آزار+SG PRO2SG#
آزارتان	N$آزار+SG PRO2PL#
آزارست	N$آزار+SG COP3SG#
آزارش	N$آزار+SG PRO3SG#
آزارشان	N$آزار+SG PRO3PL#
آزارشی	N$آزار+SG PRO3SG COP2SG#SG PRO3SG YEH#
آزارم	N$آزار+SG PRO1SG#SG COP1SG#
آزارند	N$آزار+SG COP3PL#
آزارها	N$آزار+PL#
آزارهاست	N$آزار+PL COP3SG#
آزارهای	N$آزار+PL COP2SG#PL EZ#
آزاری	N$آزار+SG YEH#SG COP2SG#
آزاریست	N$آزار+SG YEH COP3SG#
آزاریم	N$آزار+SG COP1PL#SG YEH COP1SG#
آزاریی	N$آزار+SG YEH COP2SG#
آزاری‌ام	N$آزار+SG YEH COP1SG#
آزال	N$آزال+SG#
آزالیم	N$آزال+SG COP1PL#SG YEH COP1SG#
آزت	N$آزت+SG#آز+SG PRO2SG#
